Station,Zone,Latitude,Longitude,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025
Adugodi,East,12.9440234,77.6088867,50,62,29,54,45,63,50,66
Airport,East,13.1976048,77.7074856,109,84,64,56,64,97,96,74
Ashokanagar,East,12.9693934,77.6071559,55,64,40,42,35,38,35,40
B.Pura,West,13.007516,77.695935,117,126,106,121,161,0,0,0
Banasawadi,East,13.0144163,77.6509289,129,129,91,11,25,91,65,101
Banashankari,South,12.9278196,77.556621,100,103,67,70,67,90,79,85
Basavanagudi,South,12.9417261,77.5755021,70,60,52,48,85,102,90,82
Bellanduru,South,12.9292114,77.6770417,0,0,0,0,0,43,57,76
Chamarajapet,West,12.9572504,77.5678512,42,41,29,28,51,29,15,17
Chickpet,West,12.9563732,77.7454891,54,70,36,30,40,46,41,0
Chikkabanavara,North,13.0746787,77.5056373,0,0,0,0,0,0,90,117
Chikkajala,North,13.1679234,77.6372834,0,0,0,0,0,137,140,214
City Market,West,12.965718,77.5762705,20,20,9,7,18,32,42,31
Cubbon Park,East,12.9742535,77.5921906,54,51,26,38,37,56,48,50
Devanahalli,North,13.2483502,77.7134377,161,160,113,168,154,0,0,0
Electronic City,East,12.8487599,77.648253,160,170,155,70,53,196,178,178
F.Town,East,12.9612736,77.6152935,21,30,19,99,116,0,0,0
H.Grounds,East,12.9865133,77.5830766,60,53,45,38,49,56,55,51
HSR Layout,East,12.9116225,77.6388622,100,106,75,91,166,56,61,64
Hebbala,North,13.0435918,77.6018105,138,141,109,115,101,144,177,164
Hennuru,North,13.037077,77.6413572,0,0,0,0,0,103,127,88
HuliMavu,East,12.8773486,77.6028031,136,123,80,143,83,108,71,90
Indiranagar,East,12.9732913,77.6404672,74,108,49,32,48,85,119,98
JP Nagar,South,12.9096941,77.5866067,0,0,0,0,0,0,0,43
Jalahalli,North,13.0394104,77.5197351,174,107,72,90,80,102,69,56
Jayanagar,South,12.9292731,77.5824229,81,77,54,60,93,90,85,66
Jnanabharathi,West,12.9354357,77.5124063,0,0,0,0,0,0,141,158
K G Halli,East,13.0206088,77.6219381,23,29,20,19,42,40,54,48
K R Puram,East,13.0005461,77.6754561,283,269,184,19,9,254,241,267
K S Layout,South,12.9881557,77.7060388,0,0,0,0,0,154,110,77
Kamakshipalya,West,12.9858669,77.5331755,209,219,159,157,200,241,144,193
Kengeri,West,12.9176571,77.4837568,161,171,86,107,121,279,177,200
Kodigehalli,North,13.0031666,77.7272835,0,0,0,0,0,0,0,110
Madivala,East,12.9214542,77.6211213,82,84,45,129,139,73,102,90
Magadi Road,West,12.975608,77.5553564,35,47,25,28,20,50,40,39
Mahadevapura,East,12.9965445,77.6927176,0,0,0,0,0,93,106,129
Malleswaram,West,13.0027353,77.5703253,101,90,45,36,56,0,0,0
Mico layout,East,12.9128289,77.6028358,64,84,61,74,113,0,0,0
Peenya,North,13.0329814,77.5331801,227,216,126,125,178,192,137,167
R T Nagar,North,13.0254156,77.5960071,94,74,59,65,67,82,61,33
Rajajinagar,North,13.0005232,77.5496166,71,55,48,66,101,102,99,91
S.S.Nagar,East,12.9439343,77.5091805,86,58,59,64,68,47,53,62
Shivajinagar,East,12.9855286,77.6054496,25,34,15,22,30,27,34,18
Thalagattapura,South,12.8712967,77.5385602,0,0,0,0,0,89,124,151
U.Gate,East,12.9300643,77.6418236,47,53,33,25,35,54,68,67
Ulsoor,East,12.9778793,77.6246697,81,102,51,47,76,0,0,0
Upparpet,West,12.9745091,77.5749573,46,47,17,21,27,29,46,47
VV Puram,South,12.9531831,77.5761103,0,0,0,0,0,0,0,19
Vijayanagar,West,12.9709537,77.5373851,131,122,92,94,84,79,58,77
White Field,East,12.969662,77.7528005,174,192,113,64,205,223,189,95
Yeshwantha Pura,West,13.007516,77.695935,151,132,105,79,74,106,98,102
Yelahanka,North,13.1006982,77.5963454,221,260,195,172,204,236,242,257
